"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_001MA","B25070_001EA","B25070_002E","B25070_002M","B25070_002MA","B25070_002EA","B25070_003E","B25070_003EA","B25070_003M","B25070_003MA","B25070_004E","B25070_004M","B25070_004MA","B25070_004EA","B25070_005E","B25070_005EA","B25070_005M","B25070_005MA","B25070_006E","B25070_006M","B25070_006MA","B25070_006EA","B25070_007E","B25070_007M","B25070_007MA","B25070_007EA","B25070_008E","B25070_008M","B25070_008MA","B25070_008EA","B25070_009E","B25070_009EA","B25070_009M","B25070_009MA","B25070_010E","B25070_010M","B25070_010MA","B25070_010EA","B25070_011E","B25070_011M","B25070_011MA","B25070_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Annotation of Margin of Error!!Total!!Less than 10.0 percent","Annotation of Estimate!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Annotation of Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Annotation of Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Estimate!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Annotation of Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Annotation of Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Estimate!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Estimate!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Estimate!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Annotation of Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Annotation of Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Annotation of Margin of Error!!Total!!50.0 percent or more","Annotation of Estimate!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed","Annotation of Margin of Error!!Total!!Not computed","Annotation of Estimate!!Total!!Not computed",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","1024","89","null","null","32","28","null","null","54","null","45","null","78","47","null","null","98","null","56","null","63","51","null","null","94","60","null","null","12","14","null","null","150","null","72","null","351","84","null","null","92","57","null","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","1311","107","null","null","18","20","null","null","117","null","59","null","182","71","null","null","174","null","73","null","104","66","null","null","150","75","null","null","78","49","null","null","64","null","51","null","405","108","null","null","19","18","null","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","948","120","null","null","7","12","null","null","38","null","40","null","121","80","null","null","104","null","67","null","150","65","null","null","133","58","null","null","31","37","null","null","129","null","76","null","210","83","null","null","25","24","null","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","1042","114","null","null","8","12","null","null","8","null","13","null","121","70","null","null","168","null","75","null","169","70","null","null","163","100","null","null","32","34","null","null","93","null","64","null","280","95","null","null","0","12","null","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","843","110","null","null","22","26","null","null","60","null","41","null","55","50","null","null","107","null","73","null","16","25","null","null","75","54","null","null","44","40","null","null","53","null","40","null","312","99","null","null","99","65","null","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","715","107","null","null","35","27","null","null","20","null","31","null","61","40","null","null","22","null","33","null","93","59","null","null","43","36","null","null","127","75","null","null","31","null","37","null","270","80","null","null","13","19","null","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","678","60","null","null","19","17","null","null","57","null","35","null","45","27","null","null","46","null","28","null","88","48","null","null","37","25","null","null","44","25","null","null","73","null","35","null","239","50","null","null","30","23","null","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","1289","111","null","null","70","55","null","null","95","null","68","null","133","68","null","null","136","null","81","null","194","84","null","null","89","57","null","null","66","52","null","null","126","null","71","null","295","107","null","null","85","59","null","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","1033","151","null","null","0","12","null","null","35","null","26","null","181","76","null","null","99","null","51","null","29","24","null","null","117","85","null","null","43","59","null","null","121","null","86","null","357","122","null","null","51","51","null","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","1091","88","null","null","44","40","null","null","56","null","37","null","74","51","null","null","113","null","61","null","131","85","null","null","114","65","null","null","64","47","null","null","86","null","56","null","394","112","null","null","15","21","null","null",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","1163","78","null","null","12","19","null","null","50","null","35","null","111","64","null","null","120","null","66","null","181","74","null","null","73","45","null","null","59","44","null","null","139","null","66","null","386","105","null","null","32","31","null","null",
"1400000US06001406300","Census Tract 4063, Alameda County, California","774","89","null","null","27","26","null","null","52","null","47","null","78","53","null","null","65","null","49","null","110","59","null","null","67","47","null","null","76","44","null","null","104","null","69","null","173","71","null","null","22","35","null","null",
"1400000US06001406400","Census Tract 4064, Alameda County, California","436","65","null","null","20","21","null","null","53","null","37","null","9","10","null","null","21","null","19","null","15","21","null","null","26","23","null","null","27","28","null","null","24","null","27","null","203","63","null","null","38","34","null","null",
"1400000US06001406500","Census Tract 4065, Alameda County, California","1430","116","null","null","0","17","null","null","74","null","63","null","94","51","null","null","211","null","92","null","126","68","null","null","130","66","null","null","116","67","null","null","187","null","86","null","474","116","null","null","18","19","null","null",
"1400000US06001406601","Census Tract 4066.01, Alameda County, California","885","116","null","null","0","12","null","null","48","null","34","null","27","33","null","null","78","null","61","null","108","61","null","null","71","61","null","null","99","66","null","null","140","null","80","null","309","120","null","null","5","9","null","null",
"1400000US06001406602","Census Tract 4066.02, Alameda County, California","662","81","null","null","19","30","null","null","10","null","11","null","60","31","null","null","120","null","50","null","15","24","null","null","116","56","null","null","36","30","null","null","77","null","46","null","177","70","null","null","32","32","null","null",
"1400000US06001406700","Census Tract 4067, Alameda County, California","829","169","null","null","0","12","null","null","65","null","77","null","125","91","null","null","83","null","88","null","88","93","null","null","166","119","null","null","70","55","null","null","117","null","82","null","80","70","null","null","35","34","null","null",
"1400000US06001406800","Census Tract 4068, Alameda County, California","449","93","null","null","0","12","null","null","25","null","22","null","68","39","null","null","13","null","15","null","76","67","null","null","12","15","null","null","36","29","null","null","59","null","55","null","152","57","null","null","8","14","null","null",
"1400000US06001406900","Census Tract 4069, Alameda County, California","757","90","null","null","8","12","null","null","16","null","19","null","41","43","null","null","147","null","73","null","108","65","null","null","63","50","null","null","53","48","null","null","173","null","92","null","105","67","null","null","43","41","null","null",
"1400000US06001407000","Census Tract 4070, Alameda County, California","1084","196","null","null","0","17","null","null","58","null","69","null","167","106","null","null","38","null","43","null","121","84","null","null","26","30","null","null","59","77","null","null","120","null","97","null","495","150","null","null","0","17","null","null",
"1400000US06001407101","Census Tract 4071.01, Alameda County, California","661","99","null","null","0","12","null","null","123","null","69","null","33","45","null","null","90","null","70","null","62","63","null","null","60","61","null","null","46","58","null","null","47","null","46","null","143","72","null","null","57","44","null","null",
"1400000US06001407102","Census Tract 4071.02, Alameda County, California","677","136","null","null","14","21","null","null","17","null","19","null","110","79","null","null","86","null","69","null","128","84","null","null","58","49","null","null","28","33","null","null","52","null","38","null","181","86","null","null","3","5","null","null",
"1400000US06001407200","Census Tract 4072, Alameda County, California","1426","126","null","null","77","67","null","null","76","null","54","null","51","34","null","null","192","null","90","null","133","83","null","null","174","80","null","null","138","83","null","null","104","null","57","null","433","128","null","null","48","40","null","null",
"1400000US06001407300","Census Tract 4073, Alameda County, California","530","69","null","null","26","31","null","null","0","null","12","null","105","55","null","null","29","null","23","null","43","33","null","null","62","34","null","null","11","18","null","null","20","null","20","null","234","63","null","null","0","12","null","null",
